Student ID,M,Tu,W,Th,F
1,Car,Car,Car,Car,Bycycle
2,Bicycle,Bicycle,Bicycle,Walk,Walk
3,Car,Bicycle,Carr,Walk,Car
4,Scooter,Scooter,Scootr,Scooter,Scoter
5,Bycycle,Carr,Scoter,Walkk,Scoter
6,Car,Car,Car,Car,Car
7,Walk,Walk,Wallk,Walk,WAlk
8,Car,Walk,Bicycle,Walk,Walk
9,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
10,Car,Walk,Car,Walk,Car
11,Helicopter,Car,Car,Car,Bicycle
12,Car,Car,Car,Car,Bycycle
13,Bicycle,Bicycle,Bicycle,Walk,Walk
14,Car,Bicycle,Carr,Walk,Car
15,Scooter,Scooter,Scootr,Scooter,Scoter
16,Bycycle,Carr,Scoter,Walkk,Scoter
17,Car,Car,Car,Car,Car
18,Walk,Walk,Wallk,Walk,WAlk
19,Car,Walk,Bicycle,Walk,Walk
20,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
21,Walk,Walkk,Walk,Walk,Walkk
22,Car,Car,Car,Car,Van
23,Van,Van,Van,Car,Mum's Shoulders
24,Car,Car,Car,Car,Bycycle
25,Bicycle,Bicycle,Bicycle,Walk,Walk
26,Car,Bicycle,Carr,Walk,Car
27,Scooter,Scooter,Scootr,Scooter,Scoter
28,Bycycle,Carr,Scoter,Walkk,Scoter
29,Car,Car,Car,Car,Car
30,Walk,Walk,Wallk,Walk,WAlk
31,Car,Walk,Bicycle,Walk,Walk
32,Helicopter,Car,Car,Helicopeter,Car
33,Car,Walk,Car,Walk,Car
34,Helicopter,Car,Car,Car,Bicycle
35,Car,Car,Car,Car,Bycycle
36,Bicycle,Bicycle,Bicycle,Walk,Walk
37,Car,Bicycle,Carr,Walk,Car
38,Scooter,Scooter,Scootr,Scooter,Scoter
39,Bycycle,Carr,Scoter,Walkk,Scoter
40,Car,Car,Car,Car,Car
41,Walk,Walk,Wallk,Walk,WAlk
42,Car,Walk,Bicycle,Walk,Walk
43,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
44,Walk,Walkk,Walk,Walk,Walkk
45,Car,Car,Car,Car,Van
46,Van,Van,Van,Car,Mum's Shoulders
47,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
48,Car,Walk,Car,Walk,Car
49,Helicopter,Car,Car,Car,Bicycle
50,Car,Car,Car,Car,Bycycle
51,Bicycle,Bicycle,Bicycle,Walk,Walk
52,Car,Bicycle,Carr,Walk,Car
53,Scooter,Scooter,Scootr,Scooter,Scoter
54,Bycycle,Carr,Scoter,Walkk,Scoter
55,Car,Car,Car,Car,Car
56,Walk,Walk,Wallk,Walk,WAlk
57,Car,Walk,Bicycle,Walk,Walk
58,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
59,Walk,Walkk,Walk,Walk,Walkk
60,Car,Car,Car,Car,Van
61,Van,Van,Mum's Shoulders,Car,Car
62,Car,Car,Car,Car,Bycycle
63,Bicycle,Bicycle,Bicycle,Walk,Walk
64,Car,Bicycle,Carr,Walk,Car
65,Scooter,Scooter,Scootr,Scooter,Scoter
66,Bycycle,Carr,Scoter,Walkk,Scoter
67,Car,Car,Car,Car,Car
68,Walk,Walk,Wallk,Walk,WAlk
69,Car,Walk,Bicycle,Walk,Walk
70,Helicopter,Car,Car,Helicopeter,Car
71,Car,Walk,Car,Walk,Car
72,Helicopter,Car,Car,Car,Bicycle
73,Car,Car,Car,Car,Bycycle
74,Bicycle,Bicycle,Bicycle,Walk,Walk
75,Car,Bicycle,Carr,Walk,Car
76,Scooter,Scooter,Scootr,Scooter,Scoter
77,Bycycle,Carr,Scoter,Walkk,Scoter
78,Car,Car,Car,Car,Car
79,Walk,Walk,Wallk,Walk,WAlk
80,Car,Walk,Bicycle,Walk,Walk
81,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
82,Walk,Walkk,Walk,Walk,Walkk
83,Car,Car,Car,Car,Van
84,Mum's Shoulders,Van,Van,Car,Walk
85,Walk,Bicycle,Walk,Dad's Shoulders,Waalk
86,Car,Bicycle,Carr,Walk,Car
87,Scooter,Scooter,Scootr,Scooter,Scoter
88,Bycycle,Carr,Scoter,Walkk,Scoter
89,Car,Car,Car,Car,Car
90,Walk,Walk,Wallk,Walk,WAlk
91,Car,Walk,Bicycle,Walk,Walk
92,Helicopter,Car,Car,Helicopeter,Car
93,Car,Walk,Car,Walk,Car
94,Helicopter,Car,Car,Car,Bicycle
95,Car,Car,Car,Car,Bycycle
96,Bicycle,Bicycle,Bicycle,Walk,Walk
97,Car,Bicycle,Carr,Walk,Car
98,Scooter,Scooter,Scootr,Scooter,Scoter
99,Bycycle,Carr,Scoter,Walkk,Scoter
100,Car,Car,Car,Car,Car
101,Walk,Walk,Wallk,Walk,WAlk
102,Car,Walk,Bicycle,Walk,Walk
103,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
104,Walk,Walkk,Walk,Walk,Walkk
105,Car,Car,Car,Car,Van
106,Van,Van,Van,Car,Mum's Shoulders
107,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
108,Car,Walk,Car,Walk,Car
109,Helicopter,Car,Car,Car,Bicycle
110,Car,Car,Car,Car,Bycycle
111,Bicycle,Bicycle,Bicycle,Walk,Walk
112,Car,Bicycle,Carr,Walk,Car
113,Scooter,Scooter,Scootr,Scooter,Scoter
114,Bycycle,Carr,Scoter,Walkk,Scoter
115,Car,Car,Car,Car,Car
116,Walk,Walk,Wallk,Walk,WAlk
117,Car,Walk,Bicycle,Walk,Walk
118,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
119,Walk,Walkk,Walk,Walk,Walkk
120,Car,Car,Car,Car,Van
121,Van,Van,Mum's Shoulders,Car,Car
122,Car,Car,Car,Car,Bycycle
123,Bicycle,Bicycle,Bicycle,Walk,Walk
124,Car,Bicycle,Carr,Walk,Car
125,Scooter,Scooter,Scootr,Scooter,Scoter
126,Bycycle,Carr,Scoter,Walkk,Scoter
127,Car,Car,Car,Car,Car
128,Walk,Walk,Wallk,Walk,WAlk
129,Car,Walk,Bicycle,Walk,Walk
130,Helicopter,Car,Car,Helicopeter,Car
131,Car,Walk,Car,Walk,Car
132,Helicopter,Car,Car,Car,Bicycle
133,Car,Car,Car,Car,Bycycle
134,Bicycle,Bicycle,Bicycle,Walk,Walk
135,Car,Bicycle,Carr,Walk,Car
136,Scooter,Scooter,Scootr,Scooter,Scoter
137,Bycycle,Carr,Scoter,Walkk,Scoter
138,Car,Car,Car,Car,Car
139,Walk,Walk,Wallk,Walk,WAlk
140,Car,Walk,Bicycle,Walk,Walk
141,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
142,Walk,Walkk,Walk,Walk,Walkk
143,Car,Car,Car,Car,Van
144,Mum's Shoulders,Van,Van,Car,Walk
145,Walk,Bicycle,Walk,Dad's Shoulders,Waalk
146,Hopped,Skipped,Jumped,Walk,Walk
147,Car,Car,Car,Car,Bycycle
148,Bicycle,Bicycle,Bicycle,Walk,Walk
149,Car,Bicycle,Carr,Walk,Car
150,Scooter,Scooter,Scootr,Scooter,Scoter
151,Bycycle,Carr,Scoter,Walkk,Scoter
152,Car,Car,Car,Car,Car
153,Walk,Walk,Wallk,Walk,WAlk
154,Car,Walk,Bicycle,Walk,Walk
155,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
156,Car,Walk,Car,Walk,Car
157,Helicopter,Car,Car,Car,Bicycle
158,Car,Car,Car,Car,Bycycle
159,Bicycle,Bicycle,Bicycle,Walk,Walk
160,Car,Bicycle,Carr,Walk,Car
161,Scooter,Scooter,Scootr,Scooter,Scoter
162,Bycycle,Carr,Scoter,Walkk,Scoter
163,Car,Car,Car,Car,Car
164,Walk,Walk,Wallk,Walk,WAlk
165,Car,Walk,Bicycle,Walk,Walk
166,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
167,Walk,Walkk,Walk,Walk,Walkk
168,Car,Car,Car,Car,Van
169,Van,Van,Van,Car,Mum's Shoulders
170,Car,Car,Car,Car,Bycycle
171,Bicycle,Bicycle,Bicycle,Walk,Walk
172,Car,Bicycle,Carr,Walk,Car
173,Scooter,Scooter,Scootr,Scooter,Scoter
174,Bycycle,Carr,Scoter,Walkk,Scoter
175,Car,Car,Car,Car,Car
176,Walk,Walk,Wallk,Walk,WAlk
177,Car,Walk,Bicycle,Walk,Walk
178,Helicopter,Car,Car,Helicopeter,Car
179,Car,Walk,Car,Walk,Car
180,Helicopter,Car,Car,Car,Bicycle
181,Car,Car,Car,Car,Bycycle
182,Bicycle,Bicycle,Bicycle,Walk,Walk
183,Car,Bicycle,Carr,Walk,Car
184,Scooter,Scooter,Scootr,Scooter,Scoter
185,Bycycle,Carr,Scoter,Walkk,Scoter
186,Car,Car,Car,Car,Car
187,Walk,Walk,Wallk,Walk,WAlk
188,Car,Walk,Bicycle,Walk,Walk
189,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
190,Walk,Walkk,Walk,Walk,Walkk
191,Car,Car,Car,Car,Van
192,Van,Van,Van,Car,Mum's Shoulders
193,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
194,Car,Walk,Car,Walk,Car
195,Helicopter,Car,Car,Car,Bicycle
196,Car,Car,Car,Car,Bycycle
197,Bicycle,Bicycle,Bicycle,Walk,Walk
198,Car,Bicycle,Carr,Walk,Car
199,Scooter,Scooter,Scootr,Scooter,Scoter
200,Bycycle,Carr,Scoter,Walkk,Scoter
201,Car,Car,Car,Car,Car
202,Walk,Walk,Wallk,Walk,WAlk
203,Car,Walk,Bicycle,Walk,Walk
204,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
205,Walk,Walkk,Walk,Walk,Walkk
206,Car,Car,Car,Car,Van
207,Van,Van,Mum's Shoulders,Car,Car
208,Car,Car,Car,Car,Bycycle
209,Bicycle,Bicycle,Bicycle,Walk,Walk
210,Car,Bicycle,Carr,Walk,Car
211,Scooter,Scooter,Scootr,Scooter,Scoter
212,Bycycle,Carr,Scoter,Walkk,Scoter
213,Car,Car,Car,Car,Car
214,Walk,Walk,Wallk,Walk,WAlk
215,Car,Walk,Bicycle,Walk,Walk
216,Helicopter,Car,Car,Helicopeter,Car
217,Car,Walk,Car,Walk,Car
218,Helicopter,Car,Car,Car,Bicycle
219,Car,Car,Car,Car,Bycycle
220,Bicycle,Bicycle,Bicycle,Walk,Walk
221,Car,Bicycle,Carr,Walk,Car
222,Scooter,Scooter,Scootr,Scooter,Scoter
223,Bycycle,Carr,Scoter,Walkk,Scoter
224,Car,Car,Car,Car,Car
225,Walk,Walk,Wallk,Walk,WAlk
226,Car,Walk,Bicycle,Walk,Walk
227,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
228,Walk,Walkk,Walk,Walk,Walkk
229,Car,Car,Car,Car,Van
230,Mum's Shoulders,Van,Van,Car,Walk
231,Walk,Bicycle,Walk,Dad's Shoulders,Waalk
232,Car,Bicycle,Carr,Walk,Car
233,Scooter,Scooter,Scootr,Scooter,Scoter
234,Bycycle,Carr,Scoter,Walkk,Scoter
235,Car,Car,Car,Car,Car
236,Walk,Walk,Wallk,Walk,WAlk
237,Car,Walk,Bicycle,Walk,Walk
238,Helicopter,Car,Car,Helicopeter,Car
239,Car,Walk,Car,Walk,Car
240,Helicopter,Car,Car,Car,Bicycle
241,Car,Car,Car,Car,Bycycle
242,Bicycle,Bicycle,Bicycle,Walk,Walk
243,Car,Bicycle,Carr,Walk,Car
244,Scooter,Scooter,Scootr,Scooter,Scoter
245,Bycycle,Carr,Scoter,Walkk,Scoter
246,Car,Car,Car,Car,Car
247,Walk,Walk,Wallk,Walk,WAlk
248,Car,Walk,Bicycle,Walk,Walk
249,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
250,Walk,Walkk,Walk,Walk,Walkk
251,Car,Car,Car,Car,Van
252,Van,Van,Van,Car,Mum's Shoulders
253,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
254,Car,Walk,Car,Walk,Car
255,Helicopter,Car,Car,Car,Bicycle
256,Car,Car,Car,Car,Bycycle
257,Bicycle,Bicycle,Bicycle,Walk,Walk
258,Car,Bicycle,Carr,Walk,Car
259,Scooter,Scooter,Scootr,Scooter,Scoter
260,Bycycle,Carr,Scoter,Walkk,Scoter
261,Car,Car,Car,Car,Car
262,Walk,Walk,Wallk,Walk,WAlk
263,Car,Walk,Bicycle,Walk,Walk
264,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
265,Walk,Walkk,Walk,Walk,Walkk
266,Car,Car,Car,Car,Van
267,Van,Van,Mum's Shoulders,Car,Car
268,Car,Car,Car,Car,Bycycle
269,Bicycle,Bicycle,Bicycle,Walk,Walk
270,Car,Bicycle,Carr,Walk,Car
271,Scooter,Scooter,Scootr,Scooter,Scoter
272,Bycycle,Carr,Scoter,Walkk,Scoter
273,Car,Car,Car,Car,Car
274,Walk,Walk,Wallk,Walk,WAlk
275,Car,Car,Car,Car,Bycycle
276,Bicycle,Bicycle,Bicycle,Walk,Walk
277,Car,Bicycle,Carr,Walk,Car
278,Scooter,Scooter,Scootr,Scooter,Scoter
279,Bycycle,Carr,Scoter,Walkk,Scoter
280,Car,Car,Car,Car,Car
281,Walk,Walk,Wallk,Walk,WAlk
282,Car,Walk,Bicycle,Walk,Walk
283,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
284,Car,Walk,Car,Walk,Car
285,Helicopter,Car,Car,Car,Bicycle
286,Car,Car,Car,Car,Bycycle
287,Bicycle,Bicycle,Bicycle,Walk,Walk
288,Car,Bicycle,Carr,Walk,Car
289,Scooter,Scooter,Scootr,Scooter,Scoter
290,Bycycle,Carr,Scoter,Walkk,Scoter
291,Car,Car,Car,Car,Car
292,Walk,Walk,Wallk,Walk,WAlk
293,Car,Walk,Bicycle,Walk,Walk
294,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
295,Walk,Walkk,Walk,Walk,Walkk
296,Car,Car,Car,Car,Van
297,Van,Van,Van,Car,Mum's Shoulders
298,Car,Car,Car,Car,Bycycle
299,Bicycle,Bicycle,Bicycle,Walk,Walk
300,Car,Bicycle,Carr,Walk,Car
301,Scooter,Scooter,Scootr,Scooter,Scoter
302,Bycycle,Carr,Scoter,Walkk,Scoter
303,Car,Car,Car,Car,Car
304,Walk,Walk,Wallk,Walk,WAlk
305,Car,Walk,Bicycle,Walk,Walk
306,Helicopter,Car,Car,Helicopeter,Car
307,Car,Walk,Car,Walk,Car
308,Helicopter,Car,Car,Car,Bicycle
309,Car,Car,Car,Car,Bycycle
310,Bicycle,Bicycle,Bicycle,Walk,Walk
311,Car,Bicycle,Carr,Walk,Car
312,Scooter,Scooter,Scootr,Scooter,Scoter
313,Bycycle,Carr,Scoter,Walkk,Scoter
314,Car,Car,Car,Car,Car
315,Walk,Walk,Wallk,Walk,WAlk
316,Car,Walk,Bicycle,Walk,Walk
317,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
318,Walk,Walkk,Walk,Walk,Walkk
319,Car,Car,Car,Car,Van
320,Van,Van,Van,Car,Mum's Shoulders
321,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
322,Car,Walk,Car,Walk,Car
323,Helicopter,Car,Car,Car,Bicycle
324,Car,Car,Car,Car,Bycycle
325,Bicycle,Bicycle,Bicycle,Walk,Walk
326,Car,Bicycle,Carr,Walk,Car
327,Scooter,Scooter,Scootr,Scooter,Scoter
328,Bycycle,Carr,Scoter,Walkk,Scoter
329,Car,Car,Car,Car,Car
330,Walk,Walk,Wallk,Walk,WAlk
331,Car,Walk,Bicycle,Walk,Walk
332,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
333,Walk,Walkk,Walk,Walk,Walkk
334,Car,Car,Car,Car,Van
335,Van,Van,Mum's Shoulders,Car,Car
336,Car,Car,Car,Car,Bycycle
337,Bicycle,Bicycle,Bicycle,Walk,Walk
338,Car,Bicycle,Carr,Walk,Car
339,Scooter,Scooter,Scootr,Scooter,Scoter
340,Bycycle,Carr,Scoter,Walkk,Scoter
341,Car,Car,Car,Car,Car
342,Walk,Walk,Wallk,Walk,WAlk
343,Car,Walk,Bicycle,Walk,Walk
344,Car,Car,Car,Car,Bycycle
345,Bicycle,Bicycle,Bicycle,Walk,Walk
346,Car,Bicycle,Carr,Walk,Car
347,Scooter,Scooter,Scootr,Scooter,Scoter
348,Bycycle,Carr,Scoter,Walkk,Scoter
349,Car,Car,Car,Car,Car
350,Walk,Walk,Wallk,Walk,WAlk
351,Car,Walk,Bicycle,Walk,Walk
352,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
353,Car,Walk,Car,Walk,Car
354,Helicopter,Car,Car,Car,Bicycle
355,Car,Car,Car,Car,Bycycle
356,Bicycle,Bicycle,Bicycle,Walk,Walk
357,Car,Bicycle,Carr,Walk,Car
358,Scooter,Scooter,Scootr,Scooter,Scoter
359,Bycycle,Carr,Scoter,Walkk,Scoter
360,Car,Car,Car,Car,Car
361,Walk,Walk,Wallk,Walk,WAlk
362,Car,Walk,Bicycle,Walk,Walk
363,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
364,Walk,Walkk,Walk,Walk,Walkk
365,Car,Car,Car,Car,Van
366,Van,Van,Van,Car,Mum's Shoulders
367,Car,Car,Car,Car,Bycycle
368,Bicycle,Bicycle,Bicycle,Walk,Walk
369,Car,Bicycle,Carr,Walk,Car
370,Scooter,Scooter,Scootr,Scooter,Scoter
371,Bycycle,Carr,Scoter,Walkk,Scoter
372,Car,Car,Car,Car,Car
373,Walk,Walk,Wallk,Walk,WAlk
374,Car,Walk,Bicycle,Walk,Walk
375,Helicopter,Car,Car,Helicopeter,Car
376,Car,Walk,Car,Walk,Car
377,Helicopter,Car,Car,Car,Bicycle
378,Car,Car,Car,Car,Bycycle
379,Bicycle,Bicycle,Bicycle,Walk,Walk
380,Car,Bicycle,Carr,Walk,Car
381,Scooter,Scooter,Scootr,Scooter,Scoter
382,Bycycle,Carr,Scoter,Walkk,Scoter
383,Car,Car,Car,Car,Car
384,Walk,Walk,Wallk,Walk,WAlk
385,Car,Walk,Bicycle,Walk,Walk
386,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
387,Walk,Walkk,Walk,Walk,Walkk
388,Car,Car,Car,Car,Van
389,Van,Van,Van,Car,Mum's Shoulders
390,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
391,Car,Walk,Car,Walk,Car
392,Helicopter,Car,Car,Car,Bicycle
393,Car,Car,Car,Car,Bycycle
394,Bicycle,Bicycle,Bicycle,Walk,Walk
395,Car,Bicycle,Carr,Walk,Car
396,Scooter,Scooter,Scootr,Scooter,Scoter
397,Bycycle,Carr,Scoter,Walkk,Scoter
398,Car,Car,Car,Car,Car
399,Walk,Walk,Wallk,Walk,WAlk
400,Car,Walk,Bicycle,Walk,Walk
401,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
402,Walk,Walkk,Walk,Walk,Walkk
403,Car,Car,Car,Car,Van
404,Van,Van,Mum's Shoulders,Car,Car
405,Car,Car,Car,Car,Bycycle
406,Bicycle,Bicycle,Bicycle,Walk,Walk
407,Car,Bicycle,Carr,Walk,Car
408,Scooter,Scooter,Scootr,Scooter,Scoter
409,Bycycle,Carr,Scoter,Walkk,Scoter
410,Car,Car,Car,Car,Car
411,Walk,Walk,Wallk,Walk,WAlk
412,Car,Walk,Bicycle,Walk,Walk
413,Helicopter,Car,Car,Helicopeter,Car
414,Car,Walk,Car,Walk,Car
415,Helicopter,Car,Car,Car,Bicycle
416,Car,Car,Car,Car,Bycycle
417,Bicycle,Bicycle,Bicycle,Walk,Walk
418,Car,Bicycle,Carr,Walk,Car
419,Scooter,Scooter,Scootr,Scooter,Scoter
420,Bycycle,Carr,Scoter,Walkk,Scoter
421,Car,Car,Car,Car,Car
422,Walk,Walk,Wallk,Walk,WAlk
423,Car,Walk,Bicycle,Walk,Walk
424,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
425,Walk,Walkk,Walk,Walk,Walkk
426,Car,Car,Car,Car,Van
427,Mum's Shoulders,Van,Van,Car,Walk
428,Walk,Bicycle,Walk,Dad's Shoulders,Waalk
429,Car,Bicycle,Carr,Walk,Car
430,Scooter,Scooter,Scootr,Scooter,Scoter
431,Bycycle,Carr,Scoter,Walkk,Scoter
432,Car,Car,Car,Car,Car
433,Walk,Walk,Wallk,Walk,WAlk
434,Car,Walk,Bicycle,Walk,Walk
435,Helicopter,Car,Car,Helicopeter,Car
436,Car,Walk,Car,Walk,Car
437,Helicopter,Car,Car,Car,Bicycle
438,Car,Car,Car,Car,Bycycle
439,Bicycle,Bicycle,Bicycle,Walk,Walk
440,Car,Bicycle,Carr,Walk,Car
441,Scooter,Scooter,Scootr,Scooter,Scoter
442,Bycycle,Carr,Scoter,Walkk,Scoter
443,Car,Car,Car,Car,Car
444,Walk,Walk,Wallk,Walk,WAlk
445,Car,Walk,Bicycle,Walk,Walk
446,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
447,Walk,Walkk,Walk,Walk,Walkk
448,Car,Car,Car,Car,Van
449,Van,Van,Van,Car,Mum's Shoulders
450,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
451,Car,Walk,Car,Walk,Car
452,Helicopter,Car,Car,Car,Bicycle
453,Car,Car,Car,Car,Bycycle
454,Bicycle,Bicycle,Bicycle,Walk,Walk
455,Car,Bicycle,Carr,Walk,Car
456,Scooter,Scooter,Scootr,Scooter,Scoter
457,Bycycle,Carr,Scoter,Walkk,Scoter
458,Car,Car,Car,Car,Car
459,Walk,Walk,Wallk,Walk,WAlk
460,Car,Walk,Bicycle,Walk,Walk
461,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
462,Walk,Walkk,Walk,Walk,Walkk
463,Car,Car,Car,Car,Van
464,Van,Van,Mum's Shoulders,Car,Car
465,Car,Car,Car,Car,Bycycle
466,Bicycle,Bicycle,Bicycle,Walk,Walk
467,Car,Bicycle,Carr,Walk,Car
468,Scooter,Scooter,Scootr,Scooter,Scoter
469,Bycycle,Carr,Scoter,Walkk,Scoter
470,Car,Car,Car,Car,Car
471,Walk,Walk,Wallk,Walk,WAlk
472,Car,Walk,Bicycle,Walk,Walk
473,Helicopter,Car,Car,Helicopeter,Car
474,Car,Walk,Car,Walk,Car
475,Helicopter,Car,Car,Car,Bicycle
476,Car,Car,Car,Car,Bycycle
477,Bicycle,Bicycle,Bicycle,Walk,Walk
478,Car,Bicycle,Carr,Walk,Car
479,Scooter,Scooter,Scootr,Scooter,Scoter
480,Bycycle,Carr,Scoter,Walkk,Scoter
481,Car,Car,Car,Car,Car
482,Walk,Walk,Wallk,Walk,WAlk
483,Car,Walk,Bicycle,Walk,Walk
484,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
485,Walk,Walkk,Walk,Walk,Walkk
486,Car,Car,Car,Car,Van
487,Mum's Shoulders,Van,Van,Car,Walk
488,Walk,Bicycle,Walk,Dad's Shoulders,Waalk
489,Hopped,Skipped,Jumped,Walk,Walk
490,Car,Car,Car,Car,Bycycle
491,Bicycle,Bicycle,Bicycle,Walk,Walk
492,Car,Bicycle,Carr,Walk,Car
493,Scooter,Scooter,Scootr,Scooter,Scoter
494,Bycycle,Carr,Scoter,Walkk,Scoter
495,Car,Car,Car,Car,Car
496,Walk,Walk,Wallk,Walk,WAlk
497,Car,Walk,Bicycle,Walk,Walk
498,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
499,Car,Walk,Car,Walk,Car
500,Helicopter,Car,Car,Car,Bicycle
501,Car,Car,Car,Car,Bycycle
