Student ID,M,Tu,W,Th,F
502,Bicycle,Bicycle,Bicycle,Walk,Walk
503,Car,Bicycle,Carr,Walk,Car
504,Scooter,Scooter,Scootr,Scooter,Scoter
505,Bycycle,Carr,Scoter,Walkk,Scoter
506,Car,Car,Car,Car,Car
507,Walk,Walk,Wallk,Walk,WAlk
508,Car,Walk,Bicycle,Walk,Walk
509,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
510,Walk,Walkk,Walk,Walk,Walkk
511,Car,Car,Car,Car,Van
512,Van,Van,Van,Car,Mum's Shoulders
513,Car,Car,Car,Car,Bycycle
514,Bicycle,Bicycle,Bicycle,Walk,Walk
515,Car,Bicycle,Carr,Walk,Car
516,Scooter,Scooter,Scootr,Scooter,Scoter
517,Bycycle,Carr,Scoter,Walkk,Scoter
518,Car,Car,Car,Car,Car
519,Walk,Walk,Wallk,Walk,WAlk
520,Car,Walk,Bicycle,Walk,Walk
521,Helicopter,Car,Car,Helicopeter,Car
522,Car,Walk,Car,Walk,Car
523,Helicopter,Car,Car,Car,Bicycle
524,Car,Car,Car,Car,Bycycle
525,Bicycle,Bicycle,Bicycle,Walk,Walk
526,Car,Bicycle,Carr,Walk,Car
527,Scooter,Scooter,Scootr,Scooter,Scoter
528,Bycycle,Carr,Scoter,Walkk,Scoter
529,Car,Car,Car,Car,Car
530,Walk,Walk,Wallk,Walk,WAlk
531,Car,Walk,Bicycle,Walk,Walk
532,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
533,Walk,Walkk,Walk,Walk,Walkk
534,Car,Car,Car,Car,Van
535,Van,Van,Van,Car,Mum's Shoulders
536,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
537,Car,Walk,Car,Walk,Car
538,Helicopter,Car,Car,Car,Bicycle
539,Car,Car,Car,Car,Bycycle
540,Bicycle,Bicycle,Bicycle,Walk,Walk
541,Car,Bicycle,Carr,Walk,Car
542,Scooter,Scooter,Scootr,Scooter,Scoter
543,Bycycle,Carr,Scoter,Walkk,Scoter
544,Car,Car,Car,Car,Car
545,Walk,Walk,Wallk,Walk,WAlk
546,Car,Walk,Bicycle,Walk,Walk
547,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
548,Walk,Walkk,Walk,Walk,Walkk
549,Car,Car,Car,Car,Van
550,Van,Van,Mum's Shoulders,Car,Car
551,Car,Car,Car,Car,Bycycle
552,Bicycle,Bicycle,Bicycle,Walk,Walk
553,Car,Bicycle,Carr,Walk,Car
554,Scooter,Scooter,Scootr,Scooter,Scoter
555,Bycycle,Carr,Scoter,Walkk,Scoter
556,Car,Car,Car,Car,Car
557,Walk,Walk,Wallk,Walk,WAlk
558,Car,Walk,Bicycle,Walk,Walk
559,Helicopter,Car,Car,Helicopeter,Car
560,Car,Walk,Car,Walk,Car
561,Helicopter,Car,Car,Car,Bicycle
562,Car,Car,Car,Car,Bycycle
563,Bicycle,Bicycle,Bicycle,Walk,Walk
564,Car,Bicycle,Carr,Walk,Car
565,Scooter,Scooter,Scootr,Scooter,Scoter
566,Bycycle,Carr,Scoter,Walkk,Scoter
567,Car,Car,Car,Car,Car
568,Walk,Walk,Wallk,Walk,WAlk
569,Car,Walk,Bicycle,Walk,Walk
570,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
571,Walk,Walkk,Walk,Walk,Walkk
572,Car,Car,Car,Car,Van
573,Mum's Shoulders,Van,Van,Car,Walk
574,Walk,Bicycle,Walk,Dad's Shoulders,Waalk
575,Car,Bicycle,Carr,Walk,Car
576,Scooter,Scooter,Scootr,Scooter,Scoter
577,Bycycle,Carr,Scoter,Walkk,Scoter
578,Car,Car,Car,Car,Car
579,Walk,Walk,Wallk,Walk,WAlk
580,Car,Walk,Bicycle,Walk,Walk
581,Helicopter,Car,Car,Helicopeter,Car
582,Car,Walk,Car,Walk,Car
583,Helicopter,Car,Car,Car,Bicycle
584,Car,Car,Car,Car,Bycycle
585,Bicycle,Bicycle,Bicycle,Walk,Walk
586,Car,Bicycle,Carr,Walk,Car
587,Scooter,Scooter,Scootr,Scooter,Scoter
588,Bycycle,Carr,Scoter,Walkk,Scoter
589,Car,Car,Car,Car,Car
590,Walk,Walk,Wallk,Walk,WAlk
591,Car,Walk,Bicycle,Walk,Walk
592,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
593,Walk,Walkk,Walk,Walk,Walkk
594,Car,Car,Car,Car,Van
595,Van,Van,Van,Car,Mum's Shoulders
596,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
597,Car,Walk,Car,Walk,Car
598,Helicopter,Car,Car,Car,Bicycle
599,Car,Car,Car,Car,Bycycle
600,Bicycle,Bicycle,Bicycle,Walk,Walk
601,Car,Bicycle,Carr,Walk,Car
602,Scooter,Scooter,Scootr,Scooter,Scoter
603,Bycycle,Carr,Scoter,Walkk,Scoter
604,Car,Car,Car,Car,Car
605,Walk,Walk,Wallk,Walk,WAlk
606,Car,Walk,Bicycle,Walk,Walk
607,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
608,Walk,Walkk,Walk,Walk,Walkk
609,Car,Car,Car,Car,Van
610,Van,Van,Mum's Shoulders,Car,Car
611,Car,Car,Car,Car,Bycycle
612,Bicycle,Bicycle,Bicycle,Walk,Walk
613,Car,Bicycle,Carr,Walk,Car
614,Scooter,Scooter,Scootr,Scooter,Scoter
615,Bycycle,Carr,Scoter,Walkk,Scoter
616,Car,Car,Car,Car,Car
617,Walk,Walk,Wallk,Walk,WAlk
618,Car,Car,Car,Car,Bycycle
619,Bicycle,Bicycle,Bicycle,Walk,Walk
620,Car,Bicycle,Carr,Walk,Car
621,Scooter,Scooter,Scootr,Scooter,Scoter
622,Bycycle,Carr,Scoter,Walkk,Scoter
623,Car,Car,Car,Car,Car
624,Walk,Walk,Wallk,Walk,WAlk
625,Car,Walk,Bicycle,Walk,Walk
626,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
627,Car,Walk,Car,Walk,Car
628,Helicopter,Car,Car,Car,Bicycle
629,Car,Car,Car,Car,Bycycle
630,Bicycle,Bicycle,Bicycle,Walk,Walk
631,Car,Bicycle,Carr,Walk,Car
632,Scooter,Scooter,Scootr,Scooter,Scoter
633,Bycycle,Carr,Scoter,Walkk,Scoter
634,Car,Car,Car,Car,Car
635,Walk,Walk,Wallk,Walk,WAlk
636,Car,Walk,Bicycle,Walk,Walk
637,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
638,Walk,Walkk,Walk,Walk,Walkk
639,Car,Car,Car,Car,Van
640,Van,Van,Van,Car,Mum's Shoulders
641,Car,Car,Car,Car,Bycycle
642,Bicycle,Bicycle,Bicycle,Walk,Walk
643,Car,Bicycle,Carr,Walk,Car
644,Scooter,Scooter,Scootr,Scooter,Scoter
645,Bycycle,Carr,Scoter,Walkk,Scoter
646,Car,Car,Car,Car,Car
647,Walk,Walk,Wallk,Walk,WAlk
648,Car,Walk,Bicycle,Walk,Walk
649,Helicopter,Car,Car,Helicopeter,Car
650,Car,Walk,Car,Walk,Car
651,Helicopter,Car,Car,Car,Bicycle
652,Car,Car,Car,Car,Bycycle
653,Bicycle,Bicycle,Bicycle,Walk,Walk
654,Car,Bicycle,Carr,Walk,Car
655,Scooter,Scooter,Scootr,Scooter,Scoter
656,Bycycle,Carr,Scoter,Walkk,Scoter
657,Car,Car,Car,Car,Car
658,Walk,Walk,Wallk,Walk,WAlk
659,Car,Walk,Bicycle,Walk,Walk
660,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
661,Walk,Walkk,Walk,Walk,Walkk
662,Car,Car,Car,Car,Van
663,Van,Van,Van,Car,Mum's Shoulders
664,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
665,Car,Walk,Car,Walk,Car
666,Helicopter,Car,Car,Car,Bicycle
667,Car,Car,Car,Car,Bycycle
668,Bicycle,Bicycle,Bicycle,Walk,Walk
669,Car,Bicycle,Carr,Walk,Car
670,Scooter,Scooter,Scootr,Scooter,Scoter
671,Bycycle,Carr,Scoter,Walkk,Scoter
672,Car,Car,Car,Car,Car
673,Walk,Walk,Wallk,Walk,WAlk
674,Car,Walk,Bicycle,Walk,Walk
675,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
676,Car,Walk,Car,Walk,Car
677,Helicopter,Car,Car,Car,Bicycle
678,Car,Car,Car,Car,Bycycle
679,Bicycle,Bicycle,Bicycle,Walk,Walk
680,Car,Bicycle,Carr,Walk,Car
681,Scooter,Scooter,Scootr,Scooter,Scoter
682,Bycycle,Carr,Scoter,Walkk,Scoter
683,Car,Car,Car,Car,Car
684,Walk,Walk,Wallk,Walk,WAlk
685,Car,Walk,Bicycle,Walk,Walk
686,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
687,Walk,Walkk,Walk,Walk,Walkk
688,Car,Car,Car,Car,Van
689,Van,Van,Van,Car,Mum's Shoulders
690,Car,Car,Car,Car,Bycycle
691,Bicycle,Bicycle,Bicycle,Walk,Walk
692,Car,Bicycle,Carr,Walk,Car
693,Scooter,Scooter,Scootr,Scooter,Scoter
694,Bycycle,Carr,Scoter,Walkk,Scoter
695,Car,Car,Car,Car,Car
696,Walk,Walk,Wallk,Walk,WAlk
697,Car,Walk,Bicycle,Walk,Walk
698,Helicopter,Car,Car,Helicopeter,Car
699,Car,Walk,Car,Walk,Car
700,Helicopter,Car,Car,Car,Bicycle
701,Car,Car,Car,Car,Bycycle
702,Bicycle,Bicycle,Bicycle,Walk,Walk
703,Car,Bicycle,Carr,Walk,Car
704,Scooter,Scooter,Scootr,Scooter,Scoter
705,Bycycle,Carr,Scoter,Walkk,Scoter
706,Car,Car,Car,Car,Car
707,Walk,Walk,Wallk,Walk,WAlk
708,Car,Walk,Bicycle,Walk,Walk
709,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
710,Walk,Walkk,Walk,Walk,Walkk
711,Car,Car,Car,Car,Van
712,Van,Van,Van,Car,Mum's Shoulders
713,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
714,Car,Walk,Car,Walk,Car
715,Helicopter,Car,Car,Car,Bicycle
716,Car,Car,Car,Car,Bycycle
717,Bicycle,Bicycle,Bicycle,Walk,Walk
718,Car,Bicycle,Carr,Walk,Car
719,Scooter,Scooter,Scootr,Scooter,Scoter
720,Bycycle,Carr,Scoter,Walkk,Scoter
721,Car,Car,Car,Car,Car
722,Walk,Walk,Wallk,Walk,WAlk
723,Car,Walk,Bicycle,Walk,Walk
724,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
725,Walk,Walkk,Walk,Walk,Walkk
726,Car,Car,Car,Car,Van
727,Van,Van,Mum's Shoulders,Car,Car
728,Car,Car,Car,Car,Bycycle
729,Bicycle,Bicycle,Bicycle,Walk,Walk
730,Car,Bicycle,Carr,Walk,Car
731,Scooter,Scooter,Scootr,Scooter,Scoter
732,Bycycle,Carr,Scoter,Walkk,Scoter
733,Car,Car,Car,Car,Car
734,Walk,Walk,Wallk,Walk,WAlk
735,Car,Walk,Bicycle,Walk,Walk
736,Helicopter,Car,Car,Helicopeter,Car
737,Car,Walk,Car,Walk,Car
738,Helicopter,Car,Car,Car,Bicycle
739,Car,Car,Car,Car,Bycycle
740,Bicycle,Bicycle,Bicycle,Walk,Walk
741,Car,Bicycle,Carr,Walk,Car
742,Scooter,Scooter,Scootr,Scooter,Scoter
743,Bycycle,Carr,Scoter,Walkk,Scoter
744,Car,Car,Car,Car,Car
745,Walk,Walk,Wallk,Walk,WAlk
746,Car,Walk,Bicycle,Walk,Walk
747,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
748,Walk,Walkk,Walk,Walk,Walkk
749,Car,Car,Car,Car,Van
750,Mum's Shoulders,Van,Van,Car,Walk
751,Walk,Bicycle,Walk,Dad's Shoulders,Waalk
752,Car,Bicycle,Carr,Walk,Car
753,Scooter,Scooter,Scootr,Scooter,Scoter
754,Bycycle,Carr,Scoter,Walkk,Scoter
755,Car,Car,Car,Car,Car
756,Walk,Walk,Wallk,Walk,WAlk
757,Car,Walk,Bicycle,Walk,Walk
758,Helicopter,Car,Car,Helicopeter,Car
759,Car,Walk,Car,Walk,Car
760,Helicopter,Car,Car,Car,Bicycle
761,Car,Car,Car,Car,Bycycle
762,Bicycle,Bicycle,Bicycle,Walk,Walk
763,Car,Bicycle,Carr,Walk,Car
764,Scooter,Scooter,Scootr,Scooter,Scoter
765,Bycycle,Carr,Scoter,Walkk,Scoter
766,Car,Car,Car,Car,Car
767,Walk,Walk,Wallk,Walk,WAlk
768,Car,Walk,Bicycle,Walk,Walk
769,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
770,Walk,Walkk,Walk,Walk,Walkk
771,Car,Car,Car,Car,Van
772,Van,Van,Van,Car,Mum's Shoulders
773,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
774,Car,Walk,Car,Walk,Car
775,Helicopter,Car,Car,Car,Bicycle
776,Car,Car,Car,Car,Bycycle
777,Bicycle,Bicycle,Bicycle,Walk,Walk
778,Car,Bicycle,Carr,Walk,Car
779,Scooter,Scooter,Scootr,Scooter,Scoter
780,Bycycle,Carr,Scoter,Walkk,Scoter
781,Car,Car,Car,Car,Car
782,Walk,Walk,Wallk,Walk,WAlk
783,Car,Walk,Bicycle,Walk,Walk
784,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
785,Walk,Walkk,Walk,Walk,Walkk
786,Car,Car,Car,Car,Van
787,Van,Van,Mum's Shoulders,Car,Car
788,Car,Car,Car,Car,Bycycle
789,Bicycle,Bicycle,Bicycle,Walk,Walk
790,Car,Bicycle,Carr,Walk,Car
791,Scooter,Scooter,Scootr,Scooter,Scoter
792,Bycycle,Carr,Scoter,Walkk,Scoter
793,Car,Car,Car,Car,Car
794,Walk,Walk,Wallk,Walk,WAlk
795,Car,Walk,Bicycle,Walk,Walk
796,Helicopter,Car,Car,Helicopeter,Car
797,Car,Walk,Car,Walk,Car
798,Helicopter,Car,Car,Car,Bicycle
799,Car,Car,Car,Car,Bycycle
800,Bicycle,Bicycle,Bicycle,Walk,Walk
801,Car,Bicycle,Carr,Walk,Car
802,Scooter,Scooter,Scootr,Scooter,Scoter
803,Bycycle,Carr,Scoter,Walkk,Scoter
804,Car,Car,Car,Car,Car
805,Walk,Walk,Wallk,Walk,WAlk
806,Car,Walk,Bicycle,Walk,Walk
807,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
808,Walk,Walkk,Walk,Walk,Walkk
809,Car,Car,Car,Car,Van
810,Mum's Shoulders,Van,Van,Car,Walk
811,Walk,Bicycle,Walk,Dad's Shoulders,Waalk
812,Hopped,Skipped,Jumped,Walk,Walk
813,Car,Car,Car,Car,Bycycle
814,Bicycle,Bicycle,Bicycle,Walk,Walk
815,Car,Bicycle,Carr,Walk,Car
816,Scooter,Scooter,Scootr,Scooter,Scoter
817,Bycycle,Carr,Scoter,Walkk,Scoter
818,Car,Car,Car,Car,Car
819,Walk,Walk,Wallk,Walk,WAlk
820,Car,Walk,Bicycle,Walk,Walk
821,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
822,Car,Walk,Car,Walk,Car
823,Helicopter,Car,Car,Car,Bicycle
824,Car,Car,Car,Car,Bycycle
825,Bicycle,Bicycle,Bicycle,Walk,Walk
826,Car,Bicycle,Carr,Walk,Car
827,Scooter,Scooter,Scootr,Scooter,Scoter
828,Bycycle,Carr,Scoter,Walkk,Scoter
829,Car,Car,Car,Car,Car
830,Walk,Walk,Wallk,Walk,WAlk
831,Car,Walk,Bicycle,Walk,Walk
832,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
833,Walk,Walkk,Walk,Walk,Walkk
834,Car,Car,Car,Car,Van
835,Van,Van,Van,Car,Mum's Shoulders
836,Car,Car,Car,Car,Bycycle
837,Bicycle,Bicycle,Bicycle,Walk,Walk
838,Car,Bicycle,Carr,Walk,Car
839,Scooter,Scooter,Scootr,Scooter,Scoter
840,Bycycle,Carr,Scoter,Walkk,Scoter
841,Car,Car,Car,Car,Car
842,Walk,Walk,Wallk,Walk,WAlk
843,Car,Walk,Bicycle,Walk,Walk
844,Helicopter,Car,Car,Helicopeter,Car
845,Car,Walk,Car,Walk,Car
846,Helicopter,Car,Car,Car,Bicycle
847,Car,Car,Car,Car,Bycycle
848,Bicycle,Bicycle,Bicycle,Walk,Walk
849,Car,Bicycle,Carr,Walk,Car
850,Scooter,Scooter,Scootr,Scooter,Scoter
851,Bycycle,Carr,Scoter,Walkk,Scoter
852,Car,Car,Car,Car,Car
853,Walk,Walk,Wallk,Walk,WAlk
854,Car,Walk,Bicycle,Walk,Walk
855,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
856,Walk,Walkk,Walk,Walk,Walkk
857,Car,Car,Car,Car,Van
858,Van,Van,Van,Car,Mum's Shoulders
859,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
860,Car,Walk,Car,Walk,Car
861,Helicopter,Car,Car,Car,Bicycle
862,Car,Car,Car,Car,Bycycle
863,Bicycle,Bicycle,Bicycle,Walk,Walk
864,Car,Bicycle,Carr,Walk,Car
865,Scooter,Scooter,Scootr,Scooter,Scoter
866,Bycycle,Carr,Scoter,Walkk,Scoter
867,Car,Car,Car,Car,Car
868,Walk,Walk,Wallk,Walk,WAlk
869,Car,Walk,Bicycle,Walk,Walk
870,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
871,Walk,Walkk,Walk,Walk,Walkk
872,Car,Car,Car,Car,Van
873,Van,Van,Mum's Shoulders,Car,Car
874,Car,Car,Car,Car,Bycycle
875,Bicycle,Bicycle,Bicycle,Walk,Walk
876,Car,Bicycle,Carr,Walk,Car
877,Scooter,Scooter,Scootr,Scooter,Scoter
878,Bycycle,Carr,Scoter,Walkk,Scoter
879,Car,Car,Car,Car,Car
880,Walk,Walk,Wallk,Walk,WAlk
881,Car,Walk,Bicycle,Walk,Walk
882,Helicopter,Car,Car,Helicopeter,Car
883,Car,Walk,Car,Walk,Car
884,Helicopter,Car,Car,Car,Bicycle
885,Car,Car,Car,Car,Bycycle
886,Bicycle,Bicycle,Bicycle,Walk,Walk
887,Car,Bicycle,Carr,Walk,Car
888,Scooter,Scooter,Scootr,Scooter,Scoter
889,Bycycle,Carr,Scoter,Walkk,Scoter
890,Car,Car,Car,Car,Car
891,Walk,Walk,Wallk,Walk,WAlk
892,Car,Walk,Bicycle,Walk,Walk
893,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
894,Walk,Walkk,Walk,Walk,Walkk
895,Car,Car,Car,Car,Van
896,Mum's Shoulders,Van,Van,Car,Walk
897,Walk,Bicycle,Walk,Dad's Shoulders,Waalk
898,Car,Bicycle,Carr,Walk,Car
899,Scooter,Scooter,Scootr,Scooter,Scoter
900,Bycycle,Carr,Scoter,Walkk,Scoter
901,Car,Car,Car,Car,Car
902,Walk,Walk,Wallk,Walk,WAlk
903,Car,Walk,Bicycle,Walk,Walk
904,Helicopter,Car,Car,Helicopeter,Car
905,Car,Walk,Car,Walk,Car
906,Helicopter,Car,Car,Car,Bicycle
907,Car,Car,Car,Car,Bycycle
908,Bicycle,Bicycle,Bicycle,Walk,Walk
909,Car,Bicycle,Carr,Walk,Car
910,Scooter,Scooter,Scootr,Scooter,Scoter
911,Bycycle,Carr,Scoter,Walkk,Scoter
912,Car,Car,Car,Car,Car
913,Walk,Walk,Wallk,Walk,WAlk
914,Car,Walk,Bicycle,Walk,Walk
915,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
916,Walk,Walkk,Walk,Walk,Walkk
917,Car,Car,Car,Car,Van
918,Van,Van,Van,Car,Mum's Shoulders
919,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
920,Car,Walk,Car,Walk,Car
921,Helicopter,Car,Car,Car,Bicycle
922,Car,Car,Car,Car,Bycycle
923,Bicycle,Bicycle,Bicycle,Walk,Walk
924,Car,Bicycle,Carr,Walk,Car
925,Scooter,Scooter,Scootr,Scooter,Scoter
926,Bycycle,Carr,Scoter,Walkk,Scoter
927,Car,Car,Car,Car,Car
928,Walk,Walk,Wallk,Walk,WAlk
929,Car,Walk,Bicycle,Walk,Walk
930,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
931,Walk,Walkk,Walk,Walk,Walkk
932,Car,Car,Car,Car,Van
933,Van,Van,Mum's Shoulders,Car,Car
934,Car,Car,Car,Car,Bycycle
935,Bicycle,Bicycle,Bicycle,Walk,Walk
936,Car,Bicycle,Carr,Walk,Car
937,Scooter,Scooter,Scootr,Scooter,Scoter
938,Bycycle,Carr,Scoter,Walkk,Scoter
939,Car,Car,Car,Car,Car
940,Walk,Walk,Wallk,Walk,WAlk
941,Car,Car,Car,Car,Bycycle
942,Bicycle,Bicycle,Bicycle,Walk,Walk
943,Car,Bicycle,Carr,Walk,Car
944,Scooter,Scooter,Scootr,Scooter,Scoter
945,Bycycle,Carr,Scoter,Walkk,Scoter
946,Car,Car,Car,Car,Car
947,Walk,Walk,Wallk,Walk,WAlk
948,Car,Walk,Bicycle,Walk,Walk
949,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
950,Car,Walk,Car,Walk,Car
951,Helicopter,Car,Car,Car,Bicycle
952,Car,Car,Car,Car,Bycycle
953,Bicycle,Bicycle,Bicycle,Walk,Walk
954,Car,Bicycle,Carr,Walk,Car
955,Scooter,Scooter,Scootr,Scooter,Scoter
956,Bycycle,Carr,Scoter,Walkk,Scoter
957,Car,Car,Car,Car,Car
958,Walk,Walk,Wallk,Walk,WAlk
959,Car,Walk,Bicycle,Walk,Walk
960,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
961,Walk,Walkk,Walk,Walk,Walkk
962,Car,Car,Car,Car,Van
963,Van,Van,Van,Car,Mum's Shoulders
964,Car,Car,Car,Car,Bycycle
965,Bicycle,Bicycle,Bicycle,Walk,Walk
966,Car,Bicycle,Carr,Walk,Car
967,Scooter,Scooter,Scootr,Scooter,Scoter
968,Bycycle,Carr,Scoter,Walkk,Scoter
969,Car,Car,Car,Car,Car
970,Walk,Walk,Wallk,Walk,WAlk
971,Car,Walk,Bicycle,Walk,Walk
972,Helicopter,Car,Car,Helicopeter,Car
973,Car,Walk,Car,Walk,Car
974,Helicopter,Car,Car,Car,Bicycle
975,Car,Car,Car,Car,Bycycle
976,Bicycle,Bicycle,Bicycle,Walk,Walk
977,Car,Bicycle,Carr,Walk,Car
978,Scooter,Scooter,Scootr,Scooter,Scoter
979,Bycycle,Carr,Scoter,Walkk,Scoter
980,Car,Car,Car,Car,Car
981,Walk,Walk,Wallk,Walk,WAlk
982,Car,Walk,Bicycle,Walk,Walk
983,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
984,Walk,Walkk,Walk,Walk,Walkk
985,Car,Car,Car,Car,Van
986,Van,Van,Van,Car,Mum's Shoulders
987,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
988,Car,Walk,Car,Walk,Car
989,Helicopter,Car,Car,Car,Bicycle
990,Car,Car,Car,Car,Bycycle
991,Bicycle,Bicycle,Bicycle,Walk,Walk
992,Car,Bicycle,Carr,Walk,Car
993,Scooter,Scooter,Scootr,Scooter,Scoter
994,Bycycle,Carr,Scoter,Walkk,Scoter
995,Car,Car,Car,Car,Car
996,Walk,Walk,Wallk,Walk,WAlk
997,Car,Walk,Bicycle,Walk,Walk
998,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
999,Bicycle,Bicycle,Bicycle,Walk,Walk
1000,Car,Bicycle,Carr,Walk,Car